Month,Sector,StockClass,Age,Sex,SRW_kg,LW_kg,LWG_kg,Velvet_Yield_kg,Wool_Yield_kg,Days_Pregnant,Trimester_Factor,Reproduction_Rate,FWG_kg,Days_Newborn_Fed_Milk,Milk_Mother_kg,Milk_Newborn_kg,MilkPowder_Newborn_kg,Milk_Fat_pct,Milk_Protein_pct,MilkPowder_Protein_pct,ME_Diet_AIM,DMD_pct_Diet_AIM,N_pct_Diet_AIM,BW_kg
1,Beef,Bulls Mature,4,Male,770,600,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,NA
1,Beef,Heifers R1,0.5,Female,550,79.56693078252982,11.935681320676295,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259,NA
1,Beef,Heifers R2,1.5,Female,550,224.78438685075798,11.93568132067628,NA,NA,34,NA,0.85,4.807192059099802,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,39.009180595000004
1,Beef,Heifers R3,2.5,Female,550,370.0018429189861,11.93568132067628,NA,NA,34,NA,0.85,4.807192059099802,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.6,0.669469388,0.0259,39.009180595000004
1,Beef,Cows Mature,4,Female,550,460.31516491210334,0,NA,NA,34,NA,0.85,4.807192059099802,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.6,0.669469388,0.0259,39.009180595000004
1,Beef,Bulls R1,0.5,Male,770,121.98733327653181,20.16487393526012,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259,NA
1,Beef,Bulls R2,1.5,Male,770,367.32663282219653,20.16487393526012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,NA
1,Beef,Bulls R3,2.5,Male,770,612.6659323678614,20.16487393526006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,NA
1,Beef,Steers R1,0.5,Castrate,660,125.75993497183433,21.115949992899402,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9.6,0.669469388,0.0259,NA
1,Beef,Steers R2,1.5,Castrate,660,382.6706598854438,21.11594999289946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,NA
1,Beef,Steers R3,2.5,Castrate,660,632.8946673013018,7.7425149973964835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.669469388,0.0259,NA
2,Beef,Bulls Mature,4,Male,770,600,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Heifers R1,0.5,Female,550,91.30368408119485,10.74211318860867,NA,NA,NA,NA,NA,NA,28,NA,95.33884297520662,7.7134986225895315,0.04893203883495146,0.032427184466019415,0.0334,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Heifers R2,1.5,Female,550,236.521140149423,10.742113188608641,NA,NA,62,NA,0.85,4.341979924348209,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,39.009180595000004
2,Beef,Heifers R3,2.5,Female,550,381.7385962176511,10.742113188608698,NA,NA,62,NA,0.85,4.341979924348209,28,95.33884297520662,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.2,0.63755102,0.024300000000000002,39.009180595000004
2,Beef,Cows Mature,4,Female,550,460.31516491210334,0,NA,NA,62,NA,0.85,4.341979924348209,28,95.33884297520662,NA,NA,0.04893203883495146,0.032427184466019415,NA,9.2,0.63755102,0.024300000000000002,39.009180595000004
2,Beef,Bulls R1,0.5,Male,770,141.8161259795376,18.148386541734112,NA,NA,NA,NA,NA,NA,28,NA,95.33884297520662,7.7134986225895315,0.04893203883495146,0.032427184466019415,0.0334,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Bulls R2,1.5,Male,770,387.1554255252023,18.148386541734055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Bulls R3,2.5,Male,770,623.4205318,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Steers R1,0.5,Castrate,660,146.52395246485207,19.004354993609468,NA,NA,NA,NA,NA,NA,28,NA,95.33884297520662,7.7134986225895315,0.04893203883495146,0.032427184466019415,0.0334,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Steers R2,1.5,Castrate,660,403.4346773784616,19.004354993609468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,NA
2,Beef,Steers R3,2.5,Castrate,660,636.7659248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.63755102,0.024300000000000002,NA
3,Beef,Bulls Mature,4,Male,770,600,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,NA
3,Beef,Heifers R1,0.5,Female,550,103.04043737985987,11.93568132067628,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9,0.623469388,0.026600000000000002,NA
3,Beef,Heifers R2,1.5,Female,550,248.257893448088,11.93568132067628,NA,NA,93,NA,0.85,4.807192059099802,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,39.009180595000004
3,Beef,Heifers R3,2.5,Female,550,393.4753495163161,11.935681320676338,NA,NA,93,NA,0.85,4.807192059099802,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9,0.623469388,0.026600000000000002,39.009180595000004
3,Beef,Cows Mature,4,Female,550,460.31516491210334,0,NA,NA,93,NA,0.85,4.807192059099802,31,105.55371900826447,NA,NA,0.04893203883495146,0.032427184466019415,NA,9,0.623469388,0.026600000000000002,39.009180595000004
3,Beef,Bulls R1,0.5,Male,770,161.64491868254336,20.16487393526012,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9,0.623469388,0.026600000000000002,NA
3,Beef,Bulls R2,1.5,Male,770,406.9842182282081,20.16487393526012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,NA
3,Beef,Bulls R3,2.5,Male,770,623.4205318,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,NA
3,Beef,Steers R1,0.5,Castrate,660,167.28796995786982,21.115949992899402,NA,NA,NA,NA,NA,NA,31,NA,105.55371900826447,8.539944903581267,0.04893203883495146,0.032427184466019415,0.0334,9,0.623469388,0.026600000000000002,NA
3,Beef,Steers R2,1.5,Castrate,660,424.19869487147935,21.115949992899402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,NA
3,Beef,Steers R3,2.5,Castrate,660,636.7659248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.623469388,0.026600000000000002,NA
4,Beef,Bulls Mature,4,Male,770,600,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,0.665714286,0.0297,NA
