Pasture_Region,Month,Sector,ME_Pasture,DMD_pct_Pasture,N_pct_Pasture
Bay of Plenty,1,Dairy,10.6,0.7201632653061225,0.028399999999999998
Bay of Plenty,1,NonDairy,9.6,0.6516326530612245,0.0239
Bay of Plenty,2,Dairy,10.2,0.691061224489796,0.0268
Bay of Plenty,2,NonDairy,9.2,0.6197142857142858,0.0223
Bay of Plenty,3,Dairy,9.9,0.6779183673469388,0.0292
Bay of Plenty,3,NonDairy,8.9,0.6046938775510204,0.024700000000000003
Bay of Plenty,4,Dairy,10.5,0.7164081632653063,0.0322
Bay of Plenty,4,NonDairy,9.5,0.6478775510204081,0.0277
Bay of Plenty,5,Dairy,10.7,0.7314285714285715,0.0339
Bay of Plenty,5,NonDairy,9.7,0.6657142857142858,0.029300000000000003
Bay of Plenty,6,Dairy,11.5,0.7605306122448979,0.0361
Bay of Plenty,6,NonDairy,10.5,0.6995102040816327,0.0316
Bay of Plenty,7,Dairy,11.7,0.771795918367347,0.038
Bay of Plenty,7,NonDairy,10.7,0.7126530612244898,0.0335
Bay of Plenty,8,Dairy,12,0.7886938775510205,0.0391
Bay of Plenty,8,NonDairy,11.1,0.7323673469387756,0.0346
Bay of Plenty,9,Dairy,12.3,0.8008979591836736,0.0398
Bay of Plenty,9,NonDairy,11.3,0.7473877551020409,0.0353
Bay of Plenty,10,Dairy,12.2,0.7971428571428573,0.0351
Bay of Plenty,10,NonDairy,11.2,0.7426938775510205,0.030600000000000002
Bay of Plenty,11,Dairy,11.2,0.7483265306122451,0.0305
Bay of Plenty,11,NonDairy,10.3,0.6854285714285714,0.026000000000000002
Bay of Plenty,12,Dairy,11,0.7304897959183676,0.0298
Bay of Plenty,12,NonDairy,10,0.6647755102040817,0.0252
Canterbury,1,Dairy,11.2,0.771795918367347,0.0316
Canterbury,1,NonDairy,10.2,0.7126530612244898,0.0271
Canterbury,2,Dairy,10.8,0.7473877551020409,0.03
Canterbury,2,NonDairy,9.8,0.6835510204081634,0.0255
Canterbury,3,Dairy,10.5,0.7361224489795919,0.0323
Canterbury,3,NonDairy,9.5,0.6704081632653063,0.0278
Canterbury,4,Dairy,11.1,0.7689795918367348,0.0354
Canterbury,4,NonDairy,10.1,0.7088979591836735,0.030899999999999997
Canterbury,5,Dairy,11.3,0.7821224489795919,0.037000000000000005
Canterbury,5,NonDairy,10.3,0.724857142857143,0.0325
Canterbury,6,Dairy,12.1,0.806530612244898,0.0393
Canterbury,6,NonDairy,11.1,0.7548979591836736,0.0348
Canterbury,7,Dairy,12.4,0.8159183673469388,0.0412
Canterbury,7,NonDairy,11.4,0.7661632653061226,0.036699999999999997
Canterbury,8,Dairy,12.7,0.8300000000000001,0.042300000000000004
Canterbury,8,NonDairy,11.7,0.783061224489796,0.0377
Canterbury,9,Dairy,12.9,0.8403265306122449,0.043
Canterbury,9,NonDairy,11.9,0.7952653061224491,0.0384
Canterbury,10,Dairy,12.8,0.8365714285714286,0.0382
Canterbury,10,NonDairy,11.8,0.7915102040816329,0.0337
Canterbury,11,Dairy,11.9,0.7971428571428573,0.0337
Canterbury,11,NonDairy,10.9,0.7426938775510205,0.0292
Canterbury,12,Dairy,11.6,0.7811836734693878,0.0329
Canterbury,12,NonDairy,10.6,0.7239183673469388,0.028399999999999998
Gisborne,1,Dairy,9.6,0.6619591836734694,0.0315
Gisborne,1,NonDairy,8.6,0.587795918367347,0.0269
Gisborne,2,Dairy,9.2,0.6300408163265308,0.029900000000000003
Gisborne,2,NonDairy,8.2,0.5530612244897961,0.0253
Gisborne,3,Dairy,8.9,0.6150204081632653,0.0322
Gisborne,3,NonDairy,7.9,0.5371020408163265,0.0277
Gisborne,4,Dairy,9.5,0.6582040816326531,0.0353
Gisborne,4,NonDairy,8.5,0.5831020408163267,0.0308
Gisborne,5,Dairy,9.7,0.6751020408163266,0.0369
Gisborne,5,NonDairy,8.7,0.6018775510204082,0.032400000000000005
Gisborne,6,Dairy,10.5,0.7088979591836735,0.0392
Gisborne,6,NonDairy,9.5,0.6394285714285716,0.0346
Gisborne,7,Dairy,10.7,0.7211020408163268,0.041100000000000005
Gisborne,7,NonDairy,9.8,0.6535102040816327,0.0366
Gisborne,8,Dairy,11.1,0.7408163265306124,0.0421
Gisborne,8,NonDairy,10.1,0.6760408163265306,0.037599999999999995
Gisborne,9,Dairy,11.3,0.7558367346938775,0.042800000000000005
Gisborne,9,NonDairy,10.3,0.6929387755102042,0.0383
Gisborne,10,Dairy,11.2,0.7511428571428571,0.0381
Gisborne,10,NonDairy,10.2,0.6882448979591838,0.0336
Gisborne,11,Dairy,10.3,0.6948163265306122,0.0336
Gisborne,11,NonDairy,9.3,0.6234693877551022,0.0291
Gisborne,12,Dairy,10,0.6741632653061226,0.032799999999999996
Gisborne,12,NonDairy,9,0.6009387755102041,0.028300000000000002
Hawke's Bay,1,Dairy,10.6,0.7567755102040817,0.0315
Hawke's Bay,1,NonDairy,9.6,0.6948163265306122,0.027000000000000003
Hawke's Bay,2,Dairy,10.2,0.7304897959183676,0.029900000000000003
Hawke's Bay,2,NonDairy,9.2,0.6647755102040817,0.0254
Hawke's Bay,3,Dairy,9.9,0.7182857142857143,0.0323
Hawke's Bay,3,NonDairy,8.9,0.6506938775510206,0.0278
Hawke's Bay,4,Dairy,10.5,0.7539591836734695,0.0353
Hawke's Bay,4,NonDairy,9.5,0.691061224489796,0.0308
Hawke's Bay,5,Dairy,10.7,0.7680408163265308,0.037000000000000005
Hawke's Bay,5,NonDairy,9.7,0.7079591836734694,0.032400000000000005
Hawke's Bay,6,Dairy,11.5,0.7933877551020408,0.0392
Hawke's Bay,6,NonDairy,10.5,0.7380000000000001,0.0347
Hawke's Bay,7,Dairy,11.8,0.8037142857142858,0.041100000000000005
Hawke's Bay,7,NonDairy,10.8,0.7502040816326532,0.0366
Hawke's Bay,8,Dairy,12.1,0.8177959183673471,0.042199999999999994
Hawke's Bay,8,NonDairy,11.1,0.7680408163265308,0.0377
Hawke's Bay,9,Dairy,12.3,0.829061224489796,0.0429
Hawke's Bay,9,NonDairy,11.3,0.7821224489795919,0.0384
Hawke's Bay,10,Dairy,12.2,0.8253061224489797,0.0382
Hawke's Bay,10,NonDairy,11.3,0.7774285714285716,0.0337
Hawke's Bay,11,Dairy,11.3,0.783061224489796,0.0336
Hawke's Bay,11,NonDairy,10.3,0.7257959183673471,0.0291
Hawke's Bay,12,Dairy,11,0.7671020408163266,0.0329
Hawke's Bay,12,NonDairy,10,0.7060816326530612,0.028300000000000002
Manawatu-Whanganui,1,Dairy,10.3,0.715469387755102,0.027200000000000002
Manawatu-Whanganui,1,NonDairy,9.3,0.6469387755102042,0.0226
Manawatu-Whanganui,2,Dairy,9.9,0.6863673469387757,0.0256
Manawatu-Whanganui,2,NonDairy,8.9,0.6140816326530613,0.021
Manawatu-Whanganui,3,Dairy,9.6,0.6732244897959184,0.0279
Manawatu-Whanganui,3,NonDairy,8.6,0.6000000000000001,0.023399999999999997
Manawatu-Whanganui,4,Dairy,10.2,0.7117142857142859,0.031
Manawatu-Whanganui,4,NonDairy,9.2,0.6431836734693878,0.0265
Manawatu-Whanganui,5,Dairy,10.4,0.7276734693877552,0.0326
Manawatu-Whanganui,5,NonDairy,9.4,0.6610204081632653,0.0281
Manawatu-Whanganui,6,Dairy,11.2,0.7567755102040817,0.0349
Manawatu-Whanganui,6,NonDairy,10.2,0.6948163265306122,0.030299999999999997
Manawatu-Whanganui,7,Dairy,11.5,0.7680408163265308,0.0368
Manawatu-Whanganui,7,NonDairy,10.5,0.7079591836734694,0.0323
Manawatu-Whanganui,8,Dairy,11.8,0.7849387755102042,0.0378
Manawatu-Whanganui,8,NonDairy,10.8,0.7276734693877552,0.0333
Manawatu-Whanganui,9,Dairy,12,0.7980816326530613,0.0385
Manawatu-Whanganui,9,NonDairy,11,0.7436326530612246,0.034
Manawatu-Whanganui,10,Dairy,11.9,0.794326530612245,0.0338
Manawatu-Whanganui,10,NonDairy,11,0.7389387755102041,0.029300000000000003
Manawatu-Whanganui,11,Dairy,11,0.7445714285714287,0.029300000000000003
Manawatu-Whanganui,11,NonDairy,10,0.680734693877551,0.0248
Manawatu-Whanganui,12,Dairy,10.7,0.7267346938775511,0.0285
Manawatu-Whanganui,12,NonDairy,9.7,0.6591428571428571,0.024
Northland,1,Dairy,10.7,0.7464489795918366,0.029500000000000002
Northland,1,NonDairy,9.7,0.6826122448979592,0.025
Northland,2,Dairy,10.3,0.7192244897959184,0.0279
Northland,2,NonDairy,9.3,0.6516326530612245,0.023399999999999997
Northland,3,Dairy,10,0.7070204081632655,0.0302
Northland,3,NonDairy,9,0.6375510204081632,0.025699999999999997
Northland,4,Dairy,10.6,0.7426938775510205,0.0333
Northland,4,NonDairy,9.6,0.6788571428571429,0.0288
Northland,5,Dairy,10.8,0.7577142857142858,0.0349
Northland,5,NonDairy,9.8,0.6957551020408165,0.0304
Northland,6,Dairy,11.6,0.784,0.037200000000000004
Northland,6,NonDairy,10.6,0.7276734693877552,0.0327
Northland,7,Dairy,11.8,0.794326530612245,0.0391
Northland,7,NonDairy,10.8,0.7398775510204083,0.0346
Northland,8,Dairy,12.1,0.8093469387755102,0.04019999999999999
Northland,8,NonDairy,11.2,0.7577142857142858,0.0356
Northland,9,Dairy,12.4,0.8206122448979593,0.0409
Northland,9,NonDairy,11.4,0.771795918367347,0.0363
Northland,10,Dairy,12.3,0.8177959183673471,0.0362
Northland,10,NonDairy,11.3,0.7680408163265308,0.0316
Northland,11,Dairy,11.3,0.7727346938775511,0.0316
Northland,11,NonDairy,10.4,0.713591836734694,0.0271
Northland,12,Dairy,11.1,0.7567755102040817,0.0308
Northland,12,NonDairy,10.1,0.6938775510204083,0.0263
Otago,1,Dairy,10.9,0.7389387755102041,0.0322
Otago,1,NonDairy,9.9,0.6741632653061226,0.0277
Otago,2,Dairy,10.5,0.7117142857142859,0.030600000000000002
Otago,2,NonDairy,9.5,0.6422448979591837,0.026099999999999998
Otago,3,Dairy,10.2,0.6985714285714286,0.033
Otago,3,NonDairy,9.2,0.6281632653061225,0.0285
Otago,4,Dairy,10.8,0.7351836734693878,0.0361
Otago,4,NonDairy,9.8,0.6704081632653063,0.0315
Otago,5,Dairy,11,0.7502040816326532,0.0377
