Supplement,ME_Supp,DMD_pct_Supp,N_pct_Supp,Utilisation_Supp
"Apple Pomace, Byproduct",13,0.89,0.011,0.85
"Apple, Byproduct",11.9,0.82,0.006,0.85
"Barley Grain, Concentrate",12.9619545786914,0.903850156087409,0.0189779524321554,0.85
"Barley, Silage",9.80012479757142,0.642739079102715,0.0181007890003546,0.85
"Bread, Byproduct",14,0.95,0.0208,0.85
"Brewers Grain, Concentrate",10,0.79,0.04,0.85
"Broll, Concentrate",11.1421369190252,0.727702576360831,0.0272539145961538,0.85
"Cabbage, Byproduct",13,0.89,0.032,0.85
"Canola, Byproduct",11,0.75,0.0272,0.85
"Canola Meal, Concentrate",11.5,0.767771666418909,0.061,0.85
"Carrot, Byproduct",13.3,0.91,0.0152,0.85
"Cereal, Silage",9.49464945047957,0.619598583234946,0.0185532813776013,0.85
"Chicory, Forage",12.75,0.860182998819362,0.037,0.8
"Citrus Pulp, Byproduct",12.6,0.86,0.0112,0.85
"Other Concentrates, Concentrate",13,0.85,0.024,0.85
"Condensed Distillers Syrup, Concentrate",15,0.981462762003865,0.0255,0.85
"Corn Grits, Concentrate",13.5,0.92,0.0184,0.85
"Cottonseed, Byproduct",16,0.83280808681433,0.037,0.85
"Cottonseed Meal, Concentrate",11.1161409647916,0.763163371488033,0.08111869882,0.85
"Dried Distillers Grain, Concentrate",12.8318699217073,0.78095733610822,0.0476760772133333,0.85
"Fishmeal, Byproduct",11,0.75,0.1109,0.85
"Fodderbeet, Forage",12.1230669388997,0.862539021852237,0.0195926785975,0.8
"Other Food Wastes, Byproduct",12.06,0.7,0.0128,0.85
"Grape Pomace, Byproduct",13,0.89,0.0112,0.85
"Japanese Millet, Forage",9,0.62,0.0192,0.8
"Kale, Forage",12.6718604524504,0.854663518299882,0.028074475010997,0.8
"Kiwifruit, Byproduct",12,0.82,0.008,0.85
"Lucerne, Forage",11,0.731050767414403,0.048,0.8
"Lucerne, Baleage",10,0.68,0.0368,0.85
"Lucerne Meal, Concentrate",10,0.68,0.032,0.85
"Lucerne, Silage",9.35972016579354,0.612160566706021,0.0308274123145832,0.85
"Lupin, Concentrate",12.1,0.775204400178386,0.055,0.85
"Maize, Forage",9.5,0.65,0.011,0.8
"Maize Grain, Concentrate",13.7706590359473,0.938813735691987,0.013981281909215,0.85
"Maize, Silage",10.8597345176411,0.72077922077922,0.0125105046725438,0.85
"Pasture, Baleage",9.96716497314754,0.656198347107438,0.0229230717380412,0.85
"Pasture, Silage",9.87923165187637,0.649917987361042,0.0236137065038612,0.85
"Molasses, Concentrate",12,0.95,0.006,0.85
"Oat, Forage",9,0.86,0.0208,0.8
"Oat Grain, Concentrate",11.5,0.82,0.0187,0.85
"Oat Hull Pellets, Concentrate",11,0.5,0.018,0.85
"Oat, Silage",8.9979423561111,0.584651711924439,0.0190636803219999,0.85
"Onion, Byproduct",12,0.82,0.016,0.85
"Palm Kernel Extract, Concentrate",11.5575288572327,0.82,0.027939646275102,0.85
"Pasture, Hay",8.5,0.546576151121605,0.019,0.85
"Pea, Silage",8.8,0.72,0.021,0.85
"Pea Dried, Concentrate",13.2,0.9,0.041,0.85
"Plantain, Forage",11.5,0.767945690672963,0.0275,0.8
"Plantain, Silage",8.87692274777777,0.574380165289256,0.0210421539,0.85
"Pollard, Byproduct",11,0.75,0.0272,0.85
"Potato, Byproduct",12.5,0.86,0.017,0.85
"Proliq, Byproduct",11.3,0.77,0.012,0.85
"Rape, Forage",13.021247895673,0.880283353010625,0.0341862204137055,0.8
"Sorghum, Forage",9,0.62,0.0192,0.8
"Sorghum, Silage",8.10195863963414,0.51582054309327,0.0202164023445783,0.85
"Soya Bean Hull, Concentrate",12,0.823517169614984,0.022,0.85
"Soya Bean Meal, Concentrate",12.7519314161867,0.890218522372528,0.0827054420532915,0.85
"Squash, Byproduct",13,0.89,0.016,0.85
"Sugar Beet, Forage",11,0.84,0.015,0.8
"Sulla, Forage",10,0.68,0.038,0.8
"Sunflower Pellets, Concentrate",10.7,0.611,0.0518,0.85
"Swede, Forage",13.5401100525757,0.858813890945894,0.030871490582,0.8
"Sweetcorn Waste, Byproduct",8,0.61,0.013,0.85
"Tapioca, Concentrate",11.288795629932,0.796357960457856,0.00632398038510638,0.85
"Triticale, Forage",8.6,0.553955135773318,0.022,0.8
"Triticale, Silage",8.60808221333333,0.554191263282172,0.0151594520041095,0.85
"Turnip, Forage",13.5401100525757,0.858813890945894,0.030871490582,0.8
"Wheat Grain, Concentrate",13.3769491491684,0.940686784599375,0.0212345181629032,0.85
"Whey Concentrate, Concentrate",11.3,0.913,0.02,0.85
"Wheat, Straw",6.9,0.51,0.0064,0.85
"Barley, Straw",6.9,0.51,0.0064,0.85
"Oat, Straw",6.9,0.51,0.0054,0.85
"Ryegrass, Straw",6.9,0.51,0.0096,0.85
"Pea, Straw",6.9,0.51,0.0128,0.85
"Maize, Straw",6.9,0.51,0.008,0.85
